Date,Open,High,Low,Close,Volume
2002-09-30,8659.27,8726.9,7460.78,7591.93,5601908914
2002-10-31,7593.04,8558.63,7197.49,8397.03,7499011044
2002-11-30,8395.64,8950.33,8298.68,8896.09,5409985755
2002-12-31,8902.95,9043.37,8242.91,8341.63,4607566626
2003-01-31,8342.38,8869.29,7917.16,8053.81,5426222597
2003-02-28,8053.74,8152.53,7628.99,7891.08,4418161371
2003-03-31,7890.24,8522.18,7416.64,7992.13,5616150047
2003-04-30,7992.83,8559.77,7979.69,8480.09,5129205464
2003-05-31,8478.48,8868.33,8340.23,8850.26,4686576298
2003-06-30,8851.45,9352.77,8851.45,8985.44,4988281842
2003-07-31,8983.66,9361.4,8871.2,9233.8,4911291229
2003-08-31,9232.68,9499.97,8997.11,9415.82,3853879822
2003-09-30,9416.67,9686.08,9230.47,9275.06,4385913043
2003-10-31,9276.8,9850.01,9276.8,9801.12,4841224057
2003-11-30,9802.46,9903.57,9585.5,9782.46,3548587438
2003-12-31,9785.35,10462.4,9785.35,10453.9,4246382773
2004-01-31,10452.7,10705.2,10367.4,10488.1,4380559182
2004-02-29,10487.8,10753.6,10434.7,10583.9,3894939757
2004-03-31,10582.2,10695.5,10007.5,10357.7,5009641368
2004-04-30,10357.5,10570.8,10219.2,10225.6,4530214935
2004-05-31,10227.3,10386.3,9852.19,10188.5,4016908733
2004-06-30,10187.2,10487.5,10134.9,10435.5,4111272967
2004-07-31,10434,10448.1,9913.92,10139.7,4452490024
2004-08-31,10138.5,10211.2,9783.91,10173.9,3756723852
2004-09-30,10170.1,10363.4,9977.92,10080.3,4638675325
2004-10-31,10082,10270.4,9708.4,10027.5,5293121026
2004-11-30,10028.7,10602.8,10010.2,10428,5666407055
2004-12-31,10425.8,10868.1,10418.6,10783,5745405266
2005-01-31,10783.8,10867.4,10368.6,10489.9,5424708252
2005-02-28,10489.7,10853.4,10489.6,10766.2,5038587179
2005-03-31,10769,10984.5,10396.2,10503.8,5820048289
2005-04-30,10504.6,10568.9,10000.5,10192.5,5852661254
2005-05-31,10192,10560.8,10075.5,10467.5,4842694194
2005-06-30,10462.9,10656.3,10253.5,10275,5026654274
2005-07-31,10273.6,10717.7,10175.4,10640.9,4821289551
2005-08-31,10641.8,10719.4,10349.4,10481.6,5082600084
2005-09-30,10481.4,10701.8,10351,10568.7,5229139533
2005-10-31,10569.5,10608.6,10156.5,10440.1,5829071576
2005-11-30,10437.5,10959.8,10388.8,10805.9,5386009887
2005-12-31,10806,10940.3,10709.4,10717.5,5224016548
2006-01-31,10718.3,11047.8,10661.2,10864.9,6552175472
2006-02-28,10862.1,11159.2,10737.7,10993.4,5759109152
2006-03-31,10993.2,11335,10922.7,11109.3,6680342788
2006-04-30,11113,11417.7,11039.1,11367.1,5583722207
2006-05-31,11367.8,11670.2,11030.5,11168.3,7360453914
2006-06-30,11169,11285.8,10698.8,11150.2,6960083767
2006-07-31,11149.3,11257.1,10683.3,11185.7,5548690682
2006-08-31,11184.8,11407.1,11042.6,11381.2,4668976200
2006-09-30,11382.8,11742,11323.8,11679.1,4494892657
2006-10-31,11679,12167,11653,12080.7,5666152246
2006-11-30,12080.2,12361,11965.3,12221.9,4723317316
2006-12-31,12221,12529.9,12090,12463.2,4381701259
2007-01-31,12459.5,12657,12337.4,12621.7,5075134535
2007-02-28,12617.2,12795.9,12086,12268.6,4347291743
2007-03-31,12265.6,12511,11939.6,12354.3,5633058281
2007-04-30,12354.5,13162,12324.3,13062.9,4819999199
2007-05-31,13062.8,13673.1,13041.3,13627.6,5039918344
2007-06-30,13628.7,13692,13251.5,13408.6,5228150714
2007-07-31,13409.6,14022,13199.8,13212,5511927988
2007-08-31,13211.1,13695.8,12517.9,13357.7,6199765855
2007-09-30,13358.4,13924.8,13021.9,13895.6,4328625148
2007-10-31,13895.7,14198.1,13407.5,13930,5011330839
2007-11-30,13924.2,13924.2,12724.1,13371.7,5980337139
2007-12-31,13368.2,13780.1,13092,13264.8,4310215308
2008-01-31,13261.8,13279.5,11634.8,12650.4,7460161180
2008-02-29,12638.2,12767.7,12069.5,12266.4,5720312149
2008-03-31,12264.4,12622.1,11731.6,12262.9,6229040094
2008-04-30,12266.6,13010,12266.5,12820.1,5050271711
2008-05-31,12818.3,13136.7,12442.6,12638.3,4530751187
2008-06-30,12637.7,12638.1,11287.5,11350,5309734405
2008-07-31,11344.6,11698.2,10827.7,11378,5551882519
2008-08-31,11379.9,11867.1,11221.5,11543.5,3578429281
2008-09-30,11545.6,11790.2,10365.5,10850.7,6302498308
2008-10-31,10847.4,10882.5,7882.51,9325.01,8310911256
2008-11-30,9326.04,9651.01,7449.38,8829.04,6262999175
2008-12-31,8826.89,9026.41,8141.04,8776.39,5701920643
2009-01-31,8772.25,9088.06,7909.03,8000.86,6262024516
2009-02-28,8000.62,8315.07,7033.62,7062.93,7134325266
2009-03-31,7056.48,7930.69,6469.95,7608.92,10560987670
2009-04-30,7606.13,8307.51,7483.87,8168.12,7796210982
2009-05-31,8167.41,8591.93,8099.31,8500.33,6734590926
2009-06-30,8501.53,8877.93,8259.43,8447,5524996371
2009-07-31,8447.53,9246.43,8087.19,9171.61,4902168304
2009-08-31,9173.65,9628.77,9116.52,9496.28,4041873279
2009-09-30,9492.32,9917.99,9252.93,9712.28,4478156191
2009-10-31,9711.6,10119.5,9430.46,9712.73,5150995259
2009-11-30,9712.13,10495.6,9678.95,10344.8,3813462910
2009-12-31,10343.8,10580.3,10235.6,10428,4174016486
2010-01-31,10430.7,10729.8,10043.8,10067.3,4424976920
2010-02-28,10069,10438.5,9835.09,10325.3,4280301936
2010-03-31,10326.1,10955.5,10326.1,10856.6,4388194590
2010-04-30,10857.3,11258,10844.1,11008.6,4237761719
2010-05-31,11009.6,11177.7,9774.48,10136.6,5605835159
2010-06-30,10133.9,10594.2,9753.84,9774.02,4941913599
2010-07-31,9773.27,10585,9614.32,10465.9,4243190294
2010-08-31,10468.8,10719.94,9936.62,10014.72,4117815016
2010-09-30,10016.01,10948.88,10016.01,10788.05,3764654995
2010-10-31,10789.72,11247.6,10711.12,11118.49,3787436937
2010-11-30,11120.3,11451.53,10929.28,11006.02,3808393957
2010-12-31,11007.23,11625,11007.23,11577.51,3253037832
2011-01-31,11577.43,12020.52,11573.87,11891.93,3681874673
2011-02-28,11892.5,12391.29,11892.5,12226.34,3220274595
2011-03-31,12226.49,12383.46,11555.48,12319.73,3851726443
2011-04-30,12321.02,12832.83,12093.89,12810.54,3321261092
2011-05-31,12810.16,12876,12309.52,12569.79,3577887350
2011-06-30,12569.41,12569.49,11862.53,12414.34,3876328972
2011-07-31,12412.07,12753.89,12083.45,12143.24,3092618861
2011-08-31,12144.22,12282.42,10604.07,11613.53,6203335279
2011-09-30,11613.3,11716.84,10597.14,10913.38,4396359216
2011-10-31,10912.1,12284.31,10404.49,11955.01,3907337932
2011-11-30,11951.53,12187.51,11231.56,12045.68,3263485269
2011-12-31,12046.21,12328.47,11735.19,12217.56,3071530504
2012-01-31,12221.19,12841.95,12221.19,12632.91,2980935108
2012-02-29,12632.76,13055.75,12632.76,12952.07,2712584470
2012-03-31,12952.29,13289.08,12734.86,13212.04,3203083976
2012-04-30,13211.36,13297.11,12710.56,13213.63,2575065346
2012-05-31,13214.16,13338.66,12311.56,12393.45,3050435743
2012-06-30,12391.56,12898.94,12035.09,12880.09,2923564155
2012-07-31,12879.71,13128.64,12492.25,13008.68,2577882180
2012-08-31,13007.47,13330.76,12778.9,13090.84,2267088383
2012-09-30,13092.15,13653.24,12977.09,13437.13,2701412647
2012-10-31,13437.66,13661.87,13039.86,13096.46,2472773105
2012-11-30,13099.19,13290.75,12471.49,13025.58,2683764102
2012-12-31,13027.73,13365.86,12883.89,13104.14,2666671557
2013-01-31,13104.3,13969.99,13104.3,13860.58,2786456680
2013-02-28,13860.58,14149.15,13784.01,14054.49,2487241869
2013-03-31,14054.49,14585.1,13937.6,14578.54,2546488050
2013-04-30,14578.54,14887.51,14434.43,14839.8,2920531770
2013-05-31,14839.8,15542.4,14687.05,15115.57,2771688643
